osisRef,verseText,source,book,bookOrder,chapter,verse,chrono_txt,chrono_num,verseCount,text,handcoded.sentiment,deberta,deberta.hybrid
Gen.5.22,"And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:",anchor,Genesis,1,5,22,Primeval History/Middle Bronze Age,1,1533,"And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:",positive,NA,positive
Gen.5.23,And all the days of Enoch were three hundred sixty and five years:,anchor,Genesis,1,5,23,Primeval History/Middle Bronze Age,1,1533,NA,NA,positive,positive
Gen.5.32,"And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth.",StrongOld,Genesis,1,5,32,Primeval History/Middle Bronze Age,1,1533,NA,NA,neutral,neutral
Gen.6.3,"And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years.",knight,Genesis,1,6,3,Primeval History/Middle Bronze Age,1,1533,NA,NA,negative,negative
Gen.7.6,And Noah was six hundred years old when the flood of waters was upon the earth.,StrongOld,Genesis,1,7,6,Primeval History/Middle Bronze Age,1,1533,And Noah was six hundred years old when the flood of waters was upon the earth.,neutral,NA,neutral
Gen.11.10,"These are the generations of Shem: Shem was an hundred years old, and begat Arphaxad two years after the flood:",StrongOld,Genesis,1,11,10,Primeval History/Middle Bronze Age,1,1533,"These are the generations of Shem: Shem was an hundred years old, and begat Arphaxad two years after the flood:",neutral,NA,neutral
Gen.12.4,"So Abram departed, as the LORD had spoken unto him; and Lot went with him: and Abram was seventy and five years old when he departed out of Haran.",StrongOld,Genesis,1,12,4,Primeval History/Middle Bronze Age,1,1533,NA,NA,neutral,neutral
Gen.15.15,And thou shalt go to thy fathers in peace; thou shalt be buried in a good old age.,StrongOld,Genesis,1,15,15,Primeval History/Middle Bronze Age,1,1533,NA,NA,positive,positive
Gen.16.16,"And Abram was fourscore and six years old, when Hagar bare Ishmael to Abram.",StrongOld,Genesis,1,16,16,Primeval History/Middle Bronze Age,1,1533,NA,NA,neutral,neutral
Gen.17.1,"And when Abram was ninety years old and nine, the LORD appeared to Abram, and said unto him, I am the Almighty God; walk before me, and be thou perfect.",StrongOld,Genesis,1,17,1,Primeval History/Middle Bronze Age,1,1533,NA,NA,neutral,neutral
Gen.17.17,"Then Abraham fell upon his face, and laughed, and said in his heart, Shall a child be born unto him that is an hundred years old? and shall Sarah, that is ninety years old, bear?",StrongOld,Genesis,1,17,17,Primeval History/Middle Bronze Age,1,1533,"Then Abraham fell upon his face, and laughed, and said in his heart, Shall a child be born unto him that is an hundred years old? and shall Sarah, that is ninety years old, bear?",neutral,NA,neutral
Gen.17.24,"And Abraham was ninety years old and nine, when he was circumcised in the flesh of his foreskin.",StrongOld,Genesis,1,17,24,Primeval History/Middle Bronze Age,1,1533,"And Abraham was ninety years old and nine, when he was circumcised in the flesh of his foreskin.",neutral,NA,neutral
Gen.18.11,Now Abraham and Sarah were old and well stricken in age; and it ceased to be with Sarah after the manner of women.,StrongOld,Genesis,1,18,11,Primeval History/Middle Bronze Age,1,1533,NA,NA,negative,negative
Gen.18.12,"Therefore Sarah laughed within herself, saying, After I am waxed old shall I have pleasure, my lord being old also?",StrongOld,Genesis,1,18,12,Primeval History/Middle Bronze Age,1,1533,NA,NA,positive,positive
Gen.18.13,"And the LORD said unto Abraham, Wherefore did Sarah laugh, saying, Shall I of a surety bear a child, which am old?",StrongOld,Genesis,1,18,13,Primeval History/Middle Bronze Age,1,1533,NA,NA,negative,negative
Gen.19.4,"But before they lay down, the men of the city, even the men of Sodom, compassed the house round, both old and young, all the people from every quarter:",StrongOld,Genesis,1,19,4,Primeval History/Middle Bronze Age,1,1533,NA,NA,negative,negative
Gen.19.31,"And the firstborn said unto the younger, Our father is old, and there is not a man in the earth to come in unto us after the manner of all the earth:",StrongOld,Genesis,1,19,31,Primeval History/Middle Bronze Age,1,1533,NA,NA,negative,negative
Gen.21.2,"For Sarah conceived, and bare Abraham a son in his old age, at the set time of which God had spoken to him.",StrongOld,Genesis,1,21,2,Primeval History/Middle Bronze Age,1,1533,NA,NA,positive,positive
Gen.21.5,"And Abraham was an hundred years old, when his son Isaac was born unto him.",StrongOld,Genesis,1,21,5,Primeval History/Middle Bronze Age,1,1533,"And Abraham was an hundred years old, when his son Isaac was born unto him.",neutral,NA,neutral
Gen.21.7,"And she said, Who would have said unto Abraham, that Sarah should have given children suck? for I have born him a son in his old age.",StrongOld,Genesis,1,21,7,Primeval History/Middle Bronze Age,1,1533,"And she said, Who would have said unto Abraham, that Sarah should have given children suck? for I have born him a son in his old age.",positive,NA,positive
Gen.23.1,And Sarah was an hundred and seven and twenty years old: these were the years of the life of Sarah.,StrongOld,Genesis,1,23,1,Primeval History/Middle Bronze Age,1,1533,NA,NA,positive,positive
Gen.24.1,"And Abraham was old, and well stricken in age: and the LORD had blessed Abraham in all things.",StrongOld,Genesis,1,24,1,Primeval History/Middle Bronze Age,1,1533,"And Abraham was old, and well stricken in age: and the LORD had blessed Abraham in all things.",positive,NA,positive
Gen.24.2,"And Abraham said unto his eldest servant of his house, that ruled over all that he had, Put, I pray thee, thy hand under my thigh:",Dulin,Genesis,1,24,2,Primeval History/Middle Bronze Age,1,1533,"And Abraham said unto his eldest servant of his house, that ruled over all that he had, Put, I pray thee, thy hand under my thigh:",neutral,NA,neutral
Gen.24.36,And Sarah my master’s wife bare a son to my master when she was old: and unto him hath he given all that he hath.,StrongOld,Genesis,1,24,36,Primeval History/Middle Bronze Age,1,1533,NA,NA,positive,positive
Gen.25.8,"Then Abraham gave up the ghost, and died in a good old age, an old man, and full of years; and was gathered to his people.",StrongOld,Genesis,1,25,8,Primeval History/Middle Bronze Age,1,1533,"Then Abraham gave up the ghost, and died in a good old age, an old man, and full of years; and was gathered to his people.",positive,NA,positive
