osisRef,chrono_num,bookOrder,chapter.true,verse.true,verseText,handcoded.sentiment,deberta,deberta.hybrid
Gen.5.21,1,1,5,21,"And Enoch lived sixty and five years, and begat Methuselah:",NA,positive,positive
Gen.5.22,1,1,5,22,"And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:",positive,NA,positive
Gen.5.23,1,1,5,23,And all the days of Enoch were three hundred sixty and five years:,NA,positive,positive
Gen.5.24,1,1,5,24,And Enoch walked with God: and he was not; for God took him.,NA,positive,positive
Gen.5.31,1,1,5,31,And all the days of Lamech were seven hundred seventy and seven years: and he died.,NA,positive,positive
Gen.5.32,1,1,5,32,"And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth.",NA,neutral,neutral
Gen.6.2,1,1,6,2,That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose.,NA,positive,positive
Gen.6.3,1,1,6,3,"And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years.",NA,negative,negative
Gen.6.4,1,1,6,4,"There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown.",NA,positive,positive
Gen.7.5,1,1,7,5,And Noah did according unto all that the LORD commanded him.,NA,neutral,neutral
Gen.7.6,1,1,7,6,And Noah was six hundred years old when the flood of waters was upon the earth.,neutral,NA,neutral
Gen.7.7,1,1,7,7,"And Noah went in, and his sons, and his wife, and his sons’ wives with him, into the ark, because of the waters of the flood.",NA,neutral,neutral
Gen.11.9,1,1,11,9,Therefore is the name of it called Babel; because the LORD did there confound the language of all the earth: and from thence did the LORD scatter them abroad upon the face of all the earth.,NA,negative,negative
Gen.11.10,1,1,11,10,"These are the generations of Shem: Shem was an hundred years old, and begat Arphaxad two years after the flood:",neutral,NA,neutral
Gen.11.11,1,1,11,11,"And Shem lived after he begat Arphaxad five hundred years, and begat sons and daughters.",NA,positive,positive
Gen.12.3,1,1,12,3,"And I will bless them that bless thee, and curse him that curseth thee: and in thee shall all families of the earth be blessed.",NA,positive,positive
Gen.12.4,1,1,12,4,"So Abram departed, as the LORD had spoken unto him; and Lot went with him: and Abram was seventy and five years old when he departed out of Haran.",NA,neutral,neutral
Gen.12.5,1,1,12,5,"And Abram took Sarai his wife, and Lot his brother’s son, and all their substance that they had gathered, and the souls that they had gotten in Haran; and they went forth to go into the land of Canaan; and into the land of Canaan they came.",NA,neutral,neutral
Gen.15.14,1,1,15,14,"And also that nation, whom they shall serve, will I judge: and afterward shall they come out with great substance.",NA,positive,positive
